Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
32498468,Before the Fall,Noah Hawley,"Hawley, Noah",,"=""1455561797""","=""9781455561797""",5,3.72,Grand Central Publishing,Paperback,416,2017,2016,2020/01/25,2020/01/25,,,read,,,,1,,,0,,,,,
40513711,Financial Freedom: A Proven Path to All the Money You Will Ever Need,Grant Sabatier,"Sabatier, Grant",Vicki Robin,"=""0525540881""","=""9780525540885""",5,4.00,Avery Publishing Group,Hardcover,352,2019,,2020/08/02,2020/06/18,,,read,"One of the best books I’ve read. Such a great guide to how to handle your money, and become financially independent as soon as possible. The author uses real life example and his philosophy is realistic and scientific. This book inspires me to actually find other side hustles to diversify my income streams. imma find a side hustle now",,,1,,,0,,,,,
12701065,"The Start-up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,"Hoffman, Reid",Ben Casnocha,"=""0307888908""","=""9780307888907""",4,3.85,Crown Business,Hardcover,260,2012,2012,2020/12/11,2020/11/27,,,read,"A great book! It talks about how the world is changing so fast, that our approach to career also has to change as well. We always have to redesign ourselves. The most important lesson I took from this book is that you always have to pursue opportunities. This means you just have to get your butt off and do stuffs and meet new people. That's it, simple as that. The more you do, the more people you meet, the more opportunities are going to come. ",,,1,,,0,,,,,
32989564,The Comprehensive INFP Survival Guide,Heidi Priebe,"Priebe, Heidi",,"=""1945796154""","=""9781945796159""",4,4.24,Thought Catalog Books,Paperback,274,2016,2016,2020/04/20,2020/04/14,,,read,,,,1,,,0,,,,,
29875487,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""0062641549""","=""9780062641540""",5,3.94,Harper,Paperback,206,2016,2016,2020/03/05,2020/03/01,,,read,"I really like it. Manson has some interesting approaches to life, and I learn a few things from this book. Death is inevitable, nothing really matters; your suffering or happiness is all about your perception, and you can control it. His ideas correspond a lot to Buddhism principles. It is more like a translation of Buddhism to Western culture. Nonetheless, I feel like people need to read this book.",,,1,,,0,,,,,
52061818,Bạn Có Phải Là Đứa Trẻ Sợ Hãi Ẩn Sau Lớp Vỏ Trưởng Thành?,Beth Evans,"Evans, Beth",Trịnh Thu Hằng,"=""9786047761""","=""""",4,3.73,Công Ty TNHH Văn Hoá & Truyền Thông Skybooks,Paperback,191,2018,2018,2019/12/23,2019/12/22,,,read,,,,1,,,0,,,,,
20697410,"Golden Son (Red Rising, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539818""","=""9780345539816""",5,4.44,Del Rey,Hardcover,442,2015,2015,2020/11/10,2020/10/29,,,read,"One Word: DAMNNNN! The story of Darrow and his attempt for a revolution continued. The story is fantastic, I cannot put my book down. The ending was mindblown for me. I hope Morningstar can finish the trilogy in a satisfying way. ",,,1,,,0,,,,,
25574881,Dòng Thời Gian,Michael Crichton,"Crichton, Michael",,"=""""","=""""",4,3.85,NXB Lao Động,Paperback,494,2015,1999,2020/12/15,2020/10/23,,,read,"Quite a good story for a time travel + medieval theme. I don’t understand the existence of de Kere tho. He did not really do anything. In fact, if the author removed him completely, it’s not changing the plot that much. The term about quantum science and history are explained well. Even though this is a fiction, it is clear that the author put a lot of research into it.",,,1,,,0,,,,,
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.48,Del Rey,Hardcover,524,2016,2016,2020/11/26,2020/11/17,,,read,"What an ending for the Red Rising Saga! Everything falls into place. Pierce Brown drew an amazing world. He opened the audience to the story of Darrow and the Color people and closed it perfectly. So many twists, especially at the end. Great ending for our protagonist. I hope the Iron Age trilogy is another masterpiece. ",,,1,,,0,,,,,
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",5,4.24,Del Rey (Random House),Hardcover,382,2014,2014,2020/10/15,2020/09/11,,,read,"I really like the world that the author has built. Darrow is a good protagonist, holding the mission of freeing his entire Color race. He has his demons and the author did well showing that. My friend told me the first book is only an introduction, and not that great compared to the other two. Can't wait to finish the trilogy. ",,,1,,,0,,,,,
